ESTACION,LATITUD,LONGITUD
JAZAN,-5.94485,-77.97569
LOS NARANJOS,-5.75568,-78.43154
BAGUA CHICA,-5.66148,-78.53396
JAMALCA,-5.8927,-78.2339
CAJAMARQUILLA,-9.63204,-77.74136
PARIACOTO,-9.55239,-77.88761
AIJA,-9.78164,-77.60674
CHIQUIAN,-10.14763,-77.15949
CHAVIN,-9.58598,-77.17526
CHAMANA,-10.20739,-77.55872
SIHUAS,-8.56667,-77.65
YUNGAY,-9.14189,-77.74998
CURAHUASI,-13.55253,-72.73487
GRANJA SAN ANTONIO,-13.6049,-72.8569
ANDAHUAYLAS,-13.64863,-73.36679
AYMARAES,-14.29056,-73.25168
TAMBOBAMBA,-13.94492,-72.17522
PAMPAS,-13.43488,-73.82427
CURPAHUASI,-14.0628,-72.6669
LA PAMPILLA,-16.4138,-71.53453
CHIGUATA,-16.40644,-71.40913
HUASACACHE,-16.45774,-71.56635
TINGO GRANDE,-16.45992,-71.57431
PUENTE DEL DIABLO,-16.42679,-71.67503
LA JOYA,-16.58359,-71.92464
HACIENDA PAMPATA,-16.54193,-72.69957
OCOÑA,-16.427,-73.1145
CAMANA,-16.64395,-72.70432
CARAVELI,-15.77568,-73.36259
PUNTA ATICO,-16.2317,-73.6964
CHAPARRA,-15.74765,-73.87089
LOMAS,-15.57119,-74.8503
HUATIAPA,-16.00806,-72.48355
APLAO,-16.07288,-72.49226
ANDAGUA,-15.5009,-72.3551
CHOCO,-15.5771,-72.1296
MACHAHUAY,-15.65321,-72.50322
ORCOPAMPA,-15.2639,-72.341
PAMPACOLCA,-15.7167,-72.5683
CHIVAY,-15.64163,-71.60169
CABANACONDE,-15.6226,-71.97409
CAYLLOMA,-15.18882,-71.77019
HUAMBO,-15.73201,-72.10693
HUANCA,-16.03458,-71.88108
CAJATAMBO,-10.47788,-76.98971
CANTA,-11.47121,-76.62569
OBRAJILLO,-11.45293,-76.62217
PUENTE MAGDALENA,-11.69463,-76.83719
LA CAPILLA,-12.52194,-76.49637
SOCSI CAÑETE,-13.03051,-76.20027
SOCSI,-13.0283,-76.19453
PACARAN,-12.86689,-76.05793
PACARAN,-12.86096,-76.05479
HUAYAN,-11.45281,-77.122
SANTO DOMINGO,-11.37009,-77.02823
PAMPA DE MAJES,-16.3357,-72.1525
HUANCAVELICA,-12.7715,-75.0124
PUERTO ALMENDRA,-3.8286,-73.377
LA YARADA,-18.2107,-70.5259
MATUCANA,-11.83913,-76.37792
ANTAPUCRO,-12.0314,-76.62437
RIO BLANCO,-11.7345,-76.25938
HUAROCHIRI,-12.13886,-76.23429
SAN LAZARO DE ESCOMARCA,-12.18088,-76.35207
SAN MATEO DE HUANCHOR,-11.76017,-76.301
SAN MATEO,-11.76012,-76.30111
SANTA EULALIA,-11.92,-76.66664
SANTA EULALIA,-11.91984,-76.66678
UNJF SANCHEZ CARRION - HUACHO,-11.12386,-77.60603
LOMAS DE LACHAY,-11.36014,-77.36839
ALCANTARILLA,-11.06068,-77.55011
PICOY,-10.92162,-76.73701
PICOY,-10.92164,-76.7367
SAYAN,-11.13476,-77.19832
CAMAY,-10.91294,-77.6489
YAUYOS,-12.49173,-75.91039
HUANGASCAR,-12.89858,-75.83365
TAMSHIYACU,-4.00356,-73.16112
TAMSHIYACU,-4.00316,-73.1614
FRANCISCO ORELLANA,-3.42333,-72.76667
MAZAN,-3.48817,-73.08182
PUNCHANA,-3.6903,-73.2556
SAN RAMON,-5.93559,-76.11813
SAN LORENZO,-4.82954,-76.55477
SAN LORENZO,-4.8322,-76.5554
LAGUNAS,-5.2171,-75.6679
NAUTA,-4.51336,-73.58375
CABALLOCOCHA,-3.9112,-70.5119
PEBAS,-3.3188,-71.8588
GENARO HERRERA,-4.91003,-73.66944
PUERTO MALDONADO,-12.5873,-69.2088
IÑAPARI,-10.95589,-69.578
MOQUEGUA,-17.17875,-70.93269
CARUMAS,-16.8115,-70.6954
CALACOA,-16.73988,-70.68765
YACANGO,-17.09078,-70.86699
TUMILACA,-17.12838,-70.83689
OMATE,-16.67531,-70.97925
